kid,value,idf
"1002","61586","6.917808"
"1003","61587","6.855165"
"1004","61588","6.825256"
"1005","61589","6.993315"
"1006","36586","6.880142"
"1007","36587","6.965386"
"1008","36588","6.849488"
"1009","36589","6.959051"
"1010","61590","6.961158"
"1011","61591","6.940280"
"1012","36570","6.764523"
"1013","61592","6.919830"
"1014","36571","6.866615"
"1015","61593","6.911765"
"1016","36572","6.884041"
"1017","61594","6.942349"
"1018","36573","6.843844"
"1019","61595","6.911765"
"1020","36574","6.907757"
"1021","61596","6.893854"
"1022","61597","6.936157"
"1023","61598","6.893854"
"1024","61599","6.909759"
"1025","36575","6.887955"
"1026","36576","6.997682"
"1027","36577","6.909759"
"1028","36578","6.976036"
"1029","36579","6.887955"
"1030","36560","6.948579"
"1031","36561","6.917808"
"1032","36562","6.986801"
"1033","36563","6.921856"
"1034","36564","6.864698"
"1035","36565","6.901775"
"1036","36566","6.932050"
"1037","36567","6.882090"
"1038","36568","6.919830"
"1039","36569","6.887955"
"1040","36550","6.921856"
"1041","36551","6.927960"
"1042","36552","6.909759"
"1043","36553","6.997682"
"1044","36554","6.917808"
"1045","36555","6.988967"
"1046","36556","6.952754"
"1047","36557","6.930003"
"1048","36558","6.956947"
"1049","36559","6.911765"
"1050","36540","6.897807"
"1051","36541","6.944421"
"1052","36542","6.938217"
"1053","36543","6.993315"
"1054","36544","6.956947"
"1055","36545","6.925921"
"1056","36546","6.917808"
"1057","36547","6.973897"
"1058","36548","6.950665"
"1059","36549","6.925921"
"1060","36530","6.932050"
"1061","36539","6.891884"
"1062","3902","6.954849"
"1063","3903","6.905759"
"1064","3904","6.942349"
"1065","3905","6.932050"
"1066","3906","6.942349"
"1067","3907","6.903765"
"1068","3908","6.853269"
"1069","3909","6.932050"
"1070","36531","6.934101"
"1071","36532","6.921856"
"1072","36533","6.952754"
"1073","36534","6.917808"
"1074","36535","6.923887"
"1075","36536","6.889917"
"1076","36537","7.040146"
"1077","3900","6.792645"
"1078","36538","6.965386"
"1079","3901","6.823416"
"1080","3913","6.857064"
"1081","3914","6.899789"
"1082","3915","6.880142"
"1083","3916","6.954849"
"1084","3917","6.887955"
"1085","3918","6.930003"
"1086","3919","6.872390"
"1087","3910","6.874322"
"1088","3911","6.909759"
"1089","3912","6.973897"
"1090","3924","6.919830"
"1091","3925","6.911765"
"1092","3926","6.927960"
"1093","3927","6.907757"
"1094","3928","6.919830"
"1095","3929","6.783772"
"1096","3920","6.870461"
"1097","3921","6.934101"
"1098","3922","6.954849"
"1099","3923","6.969633"
"1100","61500","6.942349"
"1101","61501","6.855165"
"1102","61502","6.903765"
"1103","61503","6.828946"
"1104","61504","6.889917"
"1105","61505","6.942349"
"1106","3935","6.874322"
"1107","3936","6.940280"
"1108","3937","6.882090"
"1109","3938","6.862784"
"1110","3939","6.969633"
"1111","3930","6.893854"
"1112","3931","6.982481"
"1113","3932","6.917808"
"1114","3933","6.887955"
"1115","3934","6.988967"
"1116","61510","6.876259"
"1117","61511","6.903765"
"1118","61512","6.899789"
"1119","61513","6.868536"
"1120","61514","6.864698"
"1121","61515","6.919830"
"1122","61516","6.938217"
"1123","3946","6.885996"
"1124","61506","6.940280"
"1125","3947","6.946498"
"1126","61507","6.946498"
"1127","3948","6.976036"
"1128","61508","6.872390"
"1129","3949","6.917808"
"1130","61509","6.956947"
"1131","3940","6.948579"
"1132","3941","6.792645"
"1133","3942","6.903765"
"1134","3943","6.851377"
"1135","3944","6.838231"
"1136","3945","6.899789"
"1137","61520","6.905759"
"1138","61521","6.891884"
"1139","61522","6.925921"
"1140","61523","6.849488"
"1141","61524","6.885996"
"1142","61525","6.893854"
"1143","61526","6.858967"
"1144","61527","6.911765"
"1145","3957","6.954849"
"1146","61517","6.927960"
"1147","3958","6.923887"
"1148","61518","6.868536"
"1149","3959","6.923887"
"1150","61519","6.919830"
"1151","3950","6.946498"
"1152","3951","6.930003"
"1153","3952","6.872390"
"1154","3953","6.927960"
"1155","3954","6.790864"
"1156","3955","6.925921"
